Modelo	Loss	Métricas adicionales
best_model_batch_700.keras	0.0922	[0.2716495394706726]
best_model_batch_1300.keras	0.0924	[0.25663691759109497]
best_model_batch_600.keras	0.0948	[0.2719971537590027]
best_model_batch_1200.keras	0.0957	[0.26556670665740967]
best_model_batch_750.keras	0.0960	[0.2683089077472687]
best_model_batch_500.keras	0.0971	[0.27171456813812256]
best_model_batch_1150.keras	0.0981	[0.26009640097618103]
best_model_batch_1000.keras	0.0985	[0.27842438220977783]
best_model_batch_650.keras	0.0987	[0.2796502113342285]
best_model_batch_1350.keras	0.1008	[0.2613656520843506]
best_model_batch_1250.keras	0.1010	[0.2602633237838745]
best_model_batch_850.keras	0.1023	[0.28050240874290466]
best_model_batch_950.keras	0.1037	[0.2875969707965851]
best_model_batch_1450.keras	0.1040	[0.24702556431293488]
best_model_batch_800.keras	0.1044	[0.2797797620296478]
best_model_batch_150.keras	0.1053	[0.2926351726055145]
best_model_batch_550.keras	0.1053	[0.2854852080345154]
best_model_batch_450.keras	0.1073	[0.2887619137763977]
best_model_batch_1400.keras	0.1085	[0.2684869170188904]
best_model_batch_1500.keras	0.1090	[0.26856938004493713]
best_model_batch_350.keras	0.1105	[0.2971276342868805]
best_model_batch_400.keras	0.1144	[0.30318471789360046]
best_model_batch_900.keras	0.1159	[0.28548625111579895]
best_model_batch_0.keras	0.1201	[0.310576468706131]
best_model_batch_50.keras	0.1233	[0.31645599007606506]
best_model_batch_200.keras	0.1236	[0.31855031847953796]
best_model_batch_1100.keras	0.1242	[0.30728456377983093]
best_model_batch_300.keras	0.1258	[0.3123525381088257]
best_model_batch_100.keras	0.1267	[0.3164239823818207]
best_model_batch_1050.keras	0.1434	[0.31699898838996887]
best_model_batch_250.keras	0.1505	[0.344402015209198]
